u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
260556496,1419647371,0,22016926,footway,False,False,72.261,,"LINESTRING (-122.2619943 37.8721704, -122.2622912 37.8720737, -122.2626653 37.8719855, -122.2627736 37.8719641)",,,,,,,,
260556496,1419647327,0,128463523,footway,False,True,44.333000000000006,,"LINESTRING (-122.2619943 37.8721704, -122.2619941 37.8721177, -122.2620013 37.8720935, -122.2621241 37.8719364, -122.2621623 37.8719157, -122.2622836 37.871887)",,,,,,,,
260556496,9531601725,0,1034706081,footway,False,True,15.689,,"LINESTRING (-122.2619943 37.8721704, -122.2619176 37.8721132, -122.2618673 37.8720712)",,,,,,,,
260556502,1665399243,0,153924731,pedestrian,False,False,56.315,Sather Road,"LINESTRING (-122.2599723 37.8717393, -122.2599535 37.8718135, -122.2599535 37.87188, -122.2600288 37.8720933, -122.2600731 37.8721388, -122.2601699 37.8721771)",,,,,,,,
260556502,234653364,0,234529366,pedestrian,False,False,20.942999999999998,Sather Road,"LINESTRING (-122.2599723 37.8717393, -122.2599137 37.8715768, -122.2599077 37.871558)",,,,,,,,
260556502,260556504,0,234529366,pedestrian,False,True,13.863,Sather Road,"LINESTRING (-122.2599723 37.8717393, -122.2600575 37.8717622, -122.2601075 37.8717985)",,,,,,,,
260556504,260556506,0,234529366,pedestrian,False,True,30.734,Sather Road,"LINESTRING (-122.2601075 37.8717985, -122.260214 37.8720618)",,,,,,,,
260556504,462764021,0,38939537,footway,False,True,36.042,,"LINESTRING (-122.2601075 37.8717985, -122.260162 37.8717861, -122.2601104 37.871636, -122.2602597 37.871598)",,,,,,,,
260556504,260556502,0,234529366,pedestrian,False,False,13.863,Sather Road,"LINESTRING (-122.2601075 37.8717985, -122.2600575 37.8717622, -122.2599723 37.8717393)",,,,,,,,
260556506,260556504,0,234529366,pedestrian,False,False,30.734,Sather Road,"LINESTRING (-122.260214 37.8720618, -122.2601075 37.8717985)",,,,,,,,
260556506,1665399243,0,234529366,pedestrian,False,True,13.518,Sather Road,"LINESTRING (-122.260214 37.8720618, -122.2602016 37.8721228, -122.2601699 37.8721771)",,,,,,,,
260556506,6269419178,0,669491538,footway,False,False,33.932,,"LINESTRING (-122.260214 37.8720618, -122.2602711 37.8720492, -122.2603375 37.8722257, -122.2603813 37.8722914)",,,,,,,,
260556512,2328750736,0,24026040,footway,False,False,22.819,,"LINESTRING (-122.2580058 37.8717675, -122.2580646 37.8719674)",,,,,,,,
260556512,1250624788,0,234529350,footway,False,False,12.054,,"LINESTRING (-122.2580058 37.8717675, -122.2581188 37.8718291)",,,,,,,,
260556512,1250624745,0,234529350,footway,False,True,9.929,,"LINESTRING (-122.2580058 37.8717675, -122.2579143 37.871715)",,,,,,,,
260556513,2328750300,0,24026040,footway,False,False,39.179,,"LINESTRING (-122.2580828 37.8720263, -122.2582114 37.8723637)",,,,,,,,
260556513,2328750874,0,24026040,footway,False,True,3.303,,"LINESTRING (-122.2580828 37.8720263, -122.2580736 37.8719975)",,,,,,,,
