u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge,name,access,junction,service,width,tunnel
2398019511,2406688765,0,231407864,False,unclassified,True,59.388,"LINESTRING (113.9275219 22.5330007, 113.9275391 22.5329295, 113.9275517 22.5328657, 113.9275559 22.5328067, 113.9275515 22.5327352, 113.9275446 22.5326732, 113.9275249 22.5324708)",,深大西路,,,,,
2398019513,2425035033,0,231407871,False,unclassified,False,38.474,"LINESTRING (113.9267388 22.5309273, 113.9263655 22.5308985)",,深大东路,,,,,
2398019513,2398019424,0,231407871,False,unclassified,True,24.547,"LINESTRING (113.9267388 22.5309273, 113.9269778 22.5309266)",,深大东路,,,,,
2398019513,2401126326,0,231407866,False,unclassified,True,89.737,"LINESTRING (113.9267388 22.5309273, 113.926822 22.5309776, 113.9269543 22.5310432, 113.9270723 22.5311101, 113.9272145 22.5312315, 113.9273191 22.5313529, 113.927375 22.5314552)",,,,,,,
2398019513,2420560425,0,233712241,False,service,True,107.814,"LINESTRING (113.9267388 22.5309273, 113.9267392 22.5308741, 113.926754 22.5303758, 113.9263016 22.5303707)",,,,,,,
2398019514,2398019553,0,231407864,False,unclassified,True,9.774,"LINESTRING (113.9309588 22.5377124, 113.930866 22.5376929)",,深大西路,,,,,
2398019514,2400176685,0,231676391,False,service,True,31.848,"LINESTRING (113.9309588 22.5377124, 113.9309186 22.5379964)",,,,,,,
2398019514,2398019417,0,231407864,False,unclassified,False,69.717,"LINESTRING (113.9309588 22.5377124, 113.9310688 22.5377223, 113.9312083 22.5377124, 113.9313933 22.537648, 113.9316099 22.5375747)",,深大西路,,,,,
2398019514,2401128823,0,231782233,False,footway,True,101.63399999999999,"LINESTRING (113.9309588 22.5377124, 113.9309639 22.5375459, 113.930929 22.5374022, 113.9309102 22.5372932, 113.9308834 22.5372016, 113.9308164 22.5370579, 113.9308104 22.5368195)",,,,,,,
2398019532,2410575352,0,231530784,False,service,True,29.241,"LINESTRING (113.9288577 22.5308533, 113.928794 22.5311096)",,,,,,,
2398019532,2398019442,0,488453361,False,unclassified,False,81.65200000000002,"LINESTRING (113.9288577 22.5308533, 113.9283356 22.5307682, 113.9281747 22.5307533, 113.9281171 22.5307554, 113.9280718 22.530759)",,深大东路,,,,,
2398019532,2399009531,0,488453361,False,unclassified,True,83.22800000000001,"LINESTRING (113.9288577 22.5308533, 113.9293656 22.5309465, 113.9296509 22.5310061)",,深大东路,,,,,
2398019540,2428968566,0,231407871,False,unclassified,False,5.443,"LINESTRING (113.9255529 22.5307921, 113.9255006 22.5307842)",,深大东路,,,,,
2398019540,2448172905,0,231407871,False,unclassified,True,31.625,"LINESTRING (113.9255529 22.5307921, 113.9257304 22.5308167, 113.9258574 22.5308343)",,深大东路,,,,,
2398019540,2401126283,0,231781960,False,service,False,85.74199999999999,"LINESTRING (113.9255529 22.5307921, 113.9255386 22.5308545, 113.9255673 22.5309758, 113.9255887 22.5310575, 113.9256129 22.5311319, 113.9257228 22.5313152, 113.9258613 22.5314841)",,,,,,,
2398019553,2398019514,0,231407864,False,unclassified,False,9.774,"LINESTRING (113.930866 22.5376929, 113.9309588 22.5377124)",,深大西路,,,,,
2398019553,2425035026,0,234216378,False,service,False,24.066,"LINESTRING (113.930866 22.5376929, 113.9307833 22.5378954)",,,,,,,
2398019553,2402103350,0,231407864,False,unclassified,True,141.274,"LINESTRING (113.930866 22.5376929, 113.9305672 22.537591, 113.9302668 22.5375167, 113.9299315 22.5374102, 113.9296553 22.5372863, 113.9295787 22.5372535)",,深大西路,,,,,
2398268290,2399009559,0,231436808,False,unclassified,False,38.842,"LINESTRING (113.9288381 22.5321914, 113.9292077 22.5322654)",,,,,,,
2398268290,2403047956,0,231436808,False,unclassified,True,11.88,"LINESTRING (113.9288381 22.5321914, 113.9287248 22.5321699)",,,,,,,
