element_type,osmid,nodes,amenity,building,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,smoking,wheelchair,geometry,building:levels,note,leisure,operator,faculty,addr:city,addr:housenumber,addr:postcode,addr:street,ways,type
way,319279059,"[3256924039, 8979112927, 3256924040, 5629513976, 3256924041, 3256924042, 3256924043, 3256924044, 3256924045, 3256924046, 3256924047, 3256924048, 8979112926, 3256924039]",,university,活动中心,Student Activity Center,活动中心,,,,,"POLYGON ((126.6244031 45.7376085, 126.62443 45.737593, 126.6259211 45.736733, 126.6257304 45.7365719, 126.6256954 45.7365424, 126.6255826 45.7366075, 126.625553 45.7365825, 126.624995 45.7369044, 126.6249531 45.736869, 126.6246687 45.7370331, 126.6246249 45.7369961, 126.6240622 45.7373206, 126.6241571 45.7374008, 126.6244031 45.7376085))",,,,,,,,,,,
way,319279113,"[3256930561, 3256930562, 3256930563, 3256930564, 3256930565, 3256930566, 3256930567, 3256930568, 3256930561]",,dormitory,A4公寓,Dormitory A4,A4公寓,,,,,"POLYGON ((126.6242904 45.7391733, 126.6245081 45.7390485, 126.6251408 45.7395859, 126.6249199 45.7397126, 126.6250355 45.7398107, 126.6253964 45.7396037, 126.62454 45.7388763, 126.6241823 45.7390814, 126.6242904 45.7391733))",,,,,,,,,,,
way,319280351,"[3256934731, 3256934732, 3256934733, 3256934734, 3256934735, 3256934740, 3256934736, 3256934737, 3256934738, 3256934731]",,university,锅炉中心,Boiler House,锅炉中心,,,,,"POLYGON ((126.6243857 45.7395238, 126.6245848 45.7394048, 126.6246051 45.7394214, 126.6246774 45.7393781, 126.6247368 45.7394265, 126.6247177 45.739438, 126.6246739 45.7394642, 126.6247083 45.7394922, 126.6245079 45.7396119, 126.6243857 45.7395238))",,,,,,,,,,,
way,319280354,"[3256934740, 3256934741, 3256934742, 3256934743, 3256934735, 3256934740]",,university,,,,,,,,"POLYGON ((126.6247177 45.739438, 126.6249003 45.7395907, 126.6249586 45.7395598, 126.6247777 45.7394041, 126.6247368 45.7394265, 126.6247177 45.739438))",,,,,,,,,,,
way,319281199,"[3256944132, 3256944133, 3256944134, 3256944135, 3256944136, 3256944137, 3256944138, 3256944139, 3256944132]",,university,,,,,,,,"POLYGON ((126.6233661 45.7405931, 126.6234868 45.7406953, 126.6240045 45.7403973, 126.6238913 45.7403015, 126.623711 45.7404052, 126.6234724 45.7402032, 126.6233462 45.7402758, 126.6235774 45.7404715, 126.6233661 45.7405931))",,,,,,,,,,,
way,319281200,"[3256944140, 3256944141, 3256944142, 3256944143, 3256944140]",,university,,,,,,,,"POLYGON ((126.6229951 45.7404806, 126.6233392 45.7407663, 126.6232352 45.7408273, 126.6228911 45.7405416, 126.6229951 45.7404806))",,,,,,,,,,,
way,319281202,"[3256944144, 3256944145, 3256944146, 3256944147, 3256944148, 3256944149, 3256944144]",,university,,,,,,,,"POLYGON ((126.622548 45.7412222, 126.6231497 45.7408831, 126.6230528 45.7407994, 126.6225738 45.7410694, 126.6223234 45.740853, 126.6222008 45.7409221, 126.622548 45.7412222))",,,,,,,,,,,
way,319281203,"[3256944150, 3256944151, 3256944152, 3256944153, 3256944154, 3256944155, 3256944156, 3256944157, 3256944158, 3256944159, 3256944150]",,university,,,,,,,,"POLYGON ((126.6219136 45.7406659, 126.6221324 45.740855, 126.6228697 45.7404396, 126.6227839 45.7403654, 126.6228298 45.7403395, 126.6226871 45.7402161, 126.6225736 45.74028, 126.6227088 45.7403969, 126.6221501 45.7407117, 126.6220247 45.7406033, 126.6219136 45.7406659))",,,,,,,,,,,
way,319281205,"[3256944160, 3256946061, 3256946062, 3256946063, 3256946064, 3256946065, 3256946066, 3256946067, 3256944160]",,university,西苑小区,Xiyuan Residences,西苑小区,,,,,"POLYGON ((126.6230166 45.7403669, 126.6229192 45.740282, 126.6233615 45.7400348, 126.6231891 45.7398846, 126.62333 45.7398058, 126.6235063 45.7399593, 126.62343 45.740002, 126.6235236 45.7400835, 126.6230166 45.7403669))",,,,,,,,,,,
way,319281207,"[3256946068, 3256946069, 3256946070, 3256946071, 3256946068]",,university,,,,,,,,"POLYGON ((126.6217926 45.7405705, 126.6225691 45.7401268, 126.6224748 45.7400464, 126.6216983 45.7404901, 126.6217926 45.7405705))",,,,,,,,,,,
way,319281209,"[3256946072, 3256946073, 3256946074, 3256946075, 3256946072]",,university,,,,,,,,"POLYGON ((126.6225458 45.7400102, 126.6226389 45.7400905, 126.623254 45.7397429, 126.6231609 45.7396626, 126.6225458 45.7400102))",,,,,,,,,,,
way,319281210,"[3256946076, 3256946077, 3256946078, 3256946079, 3256946076]",,university,,,,,,,,"POLYGON ((126.6232297 45.7396181, 126.6233282 45.7396996, 126.6238831 45.7393713, 126.6237951 45.7392947, 126.6232297 45.7396181))",,,,,,,,,,,
way,319281211,"[3256946078, 3256946080, 3256946081, 3256946079, 3256946078]",,university,,,,,,,,"POLYGON ((126.6238831 45.7393713, 126.6242104 45.7391883, 126.6241224 45.7391116, 126.6237951 45.7392947, 126.6238831 45.7393713))",,,,,,,,,,,
way,319281215,"[3256946082, 3256946083, 3256946084, 3256946085, 3256946082]",,university,,,,,,,,"POLYGON ((126.6241224 45.7393405, 126.6242593 45.7392576, 126.6244306 45.7393956, 126.6242937 45.7394784, 126.6241224 45.7393405))",,,,,,,,,,,
way,319284449,"[3256969920, 3256969921, 3256969922, 3256969923, 3256969924, 3256969925, 3256969926, 3256969927, 3256969928, 3256969929, 3256969930, 3256969920]",,university,格物楼,Gewu Building,格物楼,格物楼,格物樓,no,yes,"POLYGON ((126.6232396 45.7427264, 126.6239986 45.7433789, 126.6240269 45.7433629, 126.6240825 45.7434107, 126.6241522 45.7434165, 126.6242165 45.7433801, 126.6242885 45.743442, 126.6245392 45.7432999, 126.6243627 45.7431481, 126.624204 45.743238, 126.6234622 45.7426002, 126.6232396 45.7427264))",,,,哈尔滨工业大学,,,,,,,
way,319284450,"[3256969931, 3256969932, 3256969933, 3256969934, 3256969931]",,university,,,,,,no,yes,"POLYGON ((126.6234539 45.7425056, 126.6236111 45.7424153, 126.6239223 45.7426791, 126.623765 45.7427694, 126.6234539 45.7425056))",,,,哈尔滨工业大学,,,,,,,
way,319287060,"[3256998207, 3256998208, 3256998209, 3256998210, 3256998211, 3256998212, 3256998213, 3256998214, 3256998215, 3256998216, 3256998217, 3256998218, 3256998219, 3256998220, 3256998221, 3256998222, 3256998207]",,university,明德楼,,明德楼,明德楼,明德樓,no,yes,"POLYGON ((126.6226962 45.7422601, 126.6222453 45.7425164, 126.6226963 45.7429029, 126.6227684 45.742862, 126.6235227 45.7435084, 126.6234437 45.7435534, 126.6238715 45.74392, 126.6243089 45.7436715, 126.6240833 45.7434782, 126.6239186 45.7435718, 126.6237604 45.7434363, 126.6238368 45.7433929, 126.6229746 45.742654, 126.6228993 45.7426968, 126.6227542 45.7425724, 126.6229385 45.7424677, 126.6226962 45.7422601))",,又称化工楼,,哈尔滨工业大学,,,,,,,
way,319289955,"[3257028226, 3257028227, 3257028228, 3257028229, 3257028230, 3257028231, 3257028232, 3257028233, 3257028234, 3257028235, 3257028236, 3257028237, 3257028238, 3257028239, 3257028240, 3257028241, 3257028242, 3257028243, 3257028244, 3257028245, 3257028226]",,university,电机楼,,电机楼,电机楼,電機樓,no,yes,"POLYGON ((126.6259433 45.7449145, 126.6263277 45.744697, 126.6263009 45.7446739, 126.6265579 45.7445286, 126.6265879 45.7445544, 126.6269406 45.7443549, 126.6267591 45.7441987, 126.6269598 45.7440836, 126.6274767 45.7445211, 126.6272815 45.7446322, 126.6270909 45.7444697, 126.6267142 45.7446828, 126.6268647 45.7448124, 126.6266099 45.7449566, 126.6264586 45.7448264, 126.6260748 45.7450435, 126.6262705 45.745212, 126.6260945 45.7453116, 126.6255825 45.7448708, 126.6257696 45.744765, 126.6259433 45.7449145))",,,,哈尔滨工业大学,,,,,,,
way,319289956,"[3257028246, 3257028247, 3257028248, 3257028249, 3257028250, 3257028251, 3257028252, 3257028253, 3257028254, 3257028255, 3257028256, 3257028257, 3257028258, 3257028259, 3257028260, 3257028461, 3257028462, 3257028463, 3257028464, 3257028465, 3257028466, 3257028467, 3257028468, 3257028469, 3257028246]",,university,主楼,Main Building (School of Astronautics),主楼,主楼,主樓,no,yes,"POLYGON ((126.626135 45.7453321, 126.6263206 45.7452254, 126.6267122 45.7455571, 126.6267655 45.7455264, 126.626734 45.7454997, 126.6269717 45.745363, 126.6269062 45.7453075, 126.6270467 45.7452267, 126.6271209 45.7452896, 126.6271684 45.7452623, 126.6273339 45.7454026, 126.627286 45.7454301, 126.6273495 45.7454839, 126.6272035 45.7455678, 126.6271459 45.7455189, 126.6269069 45.7456561, 126.6268747 45.7456289, 126.626828 45.7456558, 126.6271623 45.7459393, 126.6269759 45.7460463, 126.6266736 45.7457899, 126.6266413 45.7458085, 126.6264635 45.7456579, 126.6264969 45.7456387, 126.626135 45.7453321))",,,,哈尔滨工业大学,aerospace,,,,,,
