u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
6313177443,8686418526,0,674131964,,residential,,False,True,126.014,"LINESTRING (126.6290522 45.7371694, 126.628991 45.7360973, 126.6289787 45.7360376)",
6313177443,9039504144,0,976846112,,service,,False,True,220.943,"LINESTRING (126.6290522 45.7371694, 126.6288364 45.7375017, 126.6286111 45.7376271, 126.6283214 45.7377132, 126.6280264 45.7377188, 126.627675 45.7376458, 126.627447 45.7375391, 126.6270983 45.73719, 126.62694 45.7372423)",
8686180108,9039504144,0,937505164,,residential,,False,True,62.297,"LINESTRING (126.6264099 45.7368216, 126.62694 45.7372423)",
8686180108,8686418517,0,937505164,,residential,,False,False,208.15299999999996,"LINESTRING (126.6264099 45.7368216, 126.6269517 45.7364879, 126.6270863 45.7363712, 126.6273225 45.7362132, 126.6274212 45.7361057, 126.6275955 45.7359192, 126.6277379 45.7358553, 126.6279652 45.7358168, 126.6283573 45.7358046, 126.6284764 45.7358148)",
8686405325,9907928877,0,937503661,护军街,residential,,False,True,8.075,"LINESTRING (126.6246679 45.738506, 126.6245848 45.7385497)",
8686405325,3256848630,0,937503661,护军街,residential,,False,False,107.17599999999999,"LINESTRING (126.6246679 45.738506, 126.6247329 45.7384718, 126.625771 45.7379261)",
8686418517,8686418521,0,937505164,,residential,,False,False,46.33,"LINESTRING (126.6284764 45.7358148, 126.6285788 45.7357915, 126.628735 45.7357438, 126.6288424 45.7356789, 126.628907 45.7355641)",
8686418517,8686180108,0,937505164,,residential,,False,True,208.15300000000002,"LINESTRING (126.6284764 45.7358148, 126.6283573 45.7358046, 126.6279652 45.7358168, 126.6277379 45.7358553, 126.6275955 45.7359192, 126.6274212 45.7361057, 126.6273225 45.7362132, 126.6270863 45.7363712, 126.6269517 45.7364879, 126.6264099 45.7368216)",
8686418517,8686418526,0,937505165,,service,,False,False,46.596,"LINESTRING (126.6284764 45.7358148, 126.6286137 45.7358594, 126.6287139 45.7358918, 126.6288228 45.7359415, 126.628926 45.7359993, 126.6289787 45.7360376)",
8686418521,8686418526,0,674131964,,residential,,False,False,53.168,"LINESTRING (126.628907 45.7355641, 126.6289512 45.7356769, 126.6289787 45.7360376)",
8686418521,8686418517,0,937505164,,residential,,False,True,46.330000000000005,"LINESTRING (126.628907 45.7355641, 126.6288424 45.7356789, 126.628735 45.7357438, 126.6285788 45.7357915, 126.6284764 45.7358148)",
8686418526,6313177443,0,674131964,,residential,,False,False,126.014,"LINESTRING (126.6289787 45.7360376, 126.628991 45.7360973, 126.6290522 45.7371694)",
8686418526,8686418521,0,674131964,,residential,,False,True,53.168,"LINESTRING (126.6289787 45.7360376, 126.6289512 45.7356769, 126.628907 45.7355641)",
8686418526,8686418517,0,937505165,,service,,False,True,46.596,"LINESTRING (126.6289787 45.7360376, 126.628926 45.7359993, 126.6288228 45.7359415, 126.6287139 45.7358918, 126.6286137 45.7358594, 126.6284764 45.7358148)",
9039504130,9039504136,0,976846110,,service,,False,True,99.38,"LINESTRING (126.6296048 45.7403677, 126.6289625 45.7398089, 126.6287546 45.7399109)",
9039504136,3256822963,0,976846109,,service,,False,True,43.866,"LINESTRING (126.6287546 45.7399109, 126.6283535 45.7401308, 126.6283101 45.7401546)",
