u,v,key,osmid,lanes,highway,service,oneway,reversed,length,geometry,name,maxspeed,junction,bridge,access,tunnel,width,est_width
595962253,6969479272,0,744666008,2,service,,False,False,56.498,"LINESTRING (103.7813302 1.2968502, 103.7815104 1.2967802, 103.7818055 1.2966703)",,,,,,,,
595962255,595962261,0,46648084,1,residential,,True,False,18.225,"LINESTRING (103.7828898 1.2967866, 103.7828785 1.2968097, 103.7828721 1.2968448, 103.7828801 1.2968767, 103.7829039 1.2969082, 103.7829297 1.2969238)",Lower Kent Ridge Road,50,roundabout,,,,,
595962255,7081432300,0,"[744699288, 46648191]",1,residential,,True,False,44.512,"LINESTRING (103.7828898 1.2967866, 103.7827126 1.2968977, 103.7826751 1.2969073, 103.782624 1.2969203, 103.7825243 1.2969249)",Lower Kent Ridge Road,40,,,,,,
595962256,595962255,0,635749559,1,residential,,True,False,2.685,"LINESTRING (103.7829052 1.296768, 103.7828898 1.2967866)",Lower Kent Ridge Road,50,roundabout,,,,,
595962258,7904099438,0,"[744709420, 109044021]",2,residential,,True,False,167.774,"LINESTRING (103.7830548 1.2968317, 103.7832335 1.296673, 103.7833574 1.2965731, 103.7834744 1.2964668, 103.7835733 1.2963631, 103.7836174 1.2963174, 103.7836648 1.2962681, 103.7837261 1.2961908, 103.7838056 1.2960672, 103.7839252 1.2958668, 103.7840492 1.2957117)",Lower Kent Ridge Road,50,,,,,,
595962258,1249570061,0,"[847860721, 161888206]",1,residential,,True,False,17.509,"LINESTRING (103.7830548 1.2968317, 103.7830476 1.2968028, 103.7830376 1.2967848, 103.7830239 1.2967698, 103.7830066 1.2967579, 103.7829813 1.2967488, 103.7829424 1.2967495)",Lower Kent Ridge Road,50,roundabout,,,,,
595962261,595962258,0,161888208,1,residential,,True,False,20.493,"LINESTRING (103.7829297 1.2969238, 103.7829747 1.2969295, 103.7830027 1.2969214, 103.7830277 1.2969039, 103.7830461 1.2968781, 103.7830529 1.2968586, 103.7830548 1.2968317)",Lower Kent Ridge Road,50,roundabout,,,,,
595963312,239623420,0,46648192,2,service,parking_aisle,False,True,16.595,"LINESTRING (103.7823224 1.2972631, 103.7821912 1.2973343)",,,,,,,,
595963312,5122901522,0,643425149,2,service,parking_aisle,False,False,11.149,"LINESTRING (103.7823224 1.2972631, 103.7822782 1.2971731)",,,,,,,,
595963313,1362160612,0,646982802,2,service,parking_aisle,False,True,16.671,"LINESTRING (103.7816497 1.2976939, 103.781594 1.2975547)",,,,,,,,
595963313,5122901521,0,"[744684050, 744684051, 643424860]",2,service,parking_aisle,False,True,62.348,"LINESTRING (103.7816497 1.2976939, 103.7814024 1.2978545, 103.7813242 1.2979053, 103.7811794 1.2979994)",,,,,,,,
595963313,239623420,0,"[46648192, 744684052, 744684053]",2,service,parking_aisle,False,False,72.267,"LINESTRING (103.7816497 1.2976939, 103.7818574 1.297556, 103.7819302 1.2975076, 103.7821912 1.2973343)",,,,,,,,
610183473,9742757286,0,1060426987,,service,,False,True,7.307,"LINESTRING (103.7736808 1.2983279, 103.7736328 1.2983728)",,,,,,,,
610183473,5282980941,0,"[479363929, 652155959]",1,residential,,True,False,75.535,"LINESTRING (103.7736808 1.2983279, 103.7738452 1.2984478, 103.7739769 1.2985961, 103.7740542 1.2986972, 103.7741424 1.2988189)",Kent Ridge Crescent,40,,,,,,
610183475,610183473,0,479363929,1,residential,,True,False,29.164,"LINESTRING (103.7734574 1.2981904, 103.7736808 1.2983279)",Kent Ridge Crescent,40,,,,,,
610183475,1533824598,0,543208324,,service,,False,False,6.772,"LINESTRING (103.7734574 1.2981904, 103.7734377 1.2982162, 103.7734146 1.2982328)",Engineering Drive 3,,,,,,,
687603003,11252774975,0,792090598,2,residential,,False,False,40.489,"LINESTRING (103.7768723 1.2937568, 103.7771758 1.2935555)",Prince George's Park,40,,,,,,
687603003,1345143428,0,40840643,2,residential,,False,True,80.527,"LINESTRING (103.7768723 1.2937568, 103.7768358 1.2937694, 103.7767957 1.2937712, 103.7764504 1.2937444, 103.776152 1.2937213)",Prince George's Park,40,,,,,,
687603003,982305453,0,850796717,,footway,,False,True,91.47000000000001,"LINESTRING (103.7768723 1.2937568, 103.7768622 1.2937836, 103.7768447 1.2937957, 103.7767991 1.2938011, 103.7765966 1.2937917, 103.7761782 1.2937689, 103.7761353 1.2937796, 103.7760888 1.2938191)",,,,,,,,
687603022,1746994052,0,1213628215,,footway,,False,True,5.025,"LINESTRING (103.775477 1.2929578, 103.7755056 1.2929928)",,,,,,,,
687603324,1345103796,0,22278632,,service,,False,True,25.266,"LINESTRING (103.7708363 1.2967484, 103.7710078 1.2968975)",,,,,,,,
687603324,6338274639,0,676866441,2,service,,False,True,37.143,"LINESTRING (103.7708363 1.2967484, 103.7708931 1.296708, 103.7709277 1.2966392, 103.7709389 1.2964522)",Architecture Drive,,,,,,,
687603324,5137607055,0,"[884570178, 884570179, 884570180, 884570183]",2,service,,False,False,58.371,"LINESTRING (103.7708363 1.2967484, 103.7707236 1.2968176, 103.7705925 1.2968981, 103.7704583 1.2969805, 103.7703814 1.2970074)",Architecture Drive,,,,,,,
687603472,1345103796,0,22278632,,service,,False,False,10.163,"LINESTRING (103.7710393 1.2969833, 103.7710078 1.2968975)",,,,,,,,
976478159,10814040029,0,83890921,,service,parking_aisle,False,False,3.66,"LINESTRING (103.7757873 1.2940386, 103.7757545 1.2940357)",,,,,,,,
976478159,10848137341,0,83890919,,service,driveway,True,False,23.085,"LINESTRING (103.7757873 1.2940386, 103.7757805 1.2940592, 103.775781 1.294081, 103.7757887 1.2941013, 103.7758027 1.2941179, 103.7758215 1.2941288, 103.7758429 1.2941328, 103.7758643 1.2941295, 103.7758835 1.2941191, 103.775898 1.294103, 103.7759027 1.2940919)",,,,,,,,
976478163,976478207,0,83890933,,service,driveway,False,True,30.492,"LINESTRING (103.7758279 1.2940067, 103.7758199 1.2937326)",,,,,,,,
976478163,976478159,0,83890919,,service,driveway,True,False,5.889,"LINESTRING (103.7758279 1.2940067, 103.7758116 1.2940134, 103.7757977 1.2940243, 103.7757873 1.2940386)",,,,,,,,
976478167,11252772227,0,"[83890921, 646401214]",,service,parking_aisle,False,False,52.341,"LINESTRING (103.7752105 1.2948291, 103.7753226 1.2948822, 103.7756304 1.2950419)",,,,,,,,
976478167,10814040029,0,83890921,,service,parking_aisle,False,True,114.294,"LINESTRING (103.7752105 1.2948291, 103.7752325 1.2947781, 103.7755339 1.2941317, 103.7755999 1.2940543, 103.7757011 1.2940309, 103.7757545 1.2940357)",,,,,,,,
976478167,11210344252,0,"[1210061128, 1158481784, 1162745626, 1162745627, 1162745628, 1162745629]",,"['service', 'steps']",driveway,False,"[False, True]",133.84099999999998,"LINESTRING (103.7752105 1.2948291, 103.7751964 1.2948396, 103.7751751 1.2948382, 103.7750874 1.2948036, 103.7750245 1.2947787, 103.7749769 1.2947599, 103.7749248 1.2947393, 103.7748649 1.2947156, 103.7747484 1.2946451, 103.7746781 1.2945833, 103.7746298 1.2945151, 103.7745762 1.2943209, 103.7745774 1.2942059, 103.7746224 1.2941113, 103.7746407 1.2940755, 103.7746913 1.2941008)",,,,yes,private,,,
976478167,11155921859,0,1167145240,,service,driveway,False,False,28.671999999999997,"LINESTRING (103.7752105 1.2948291, 103.7752196 1.2948964, 103.7751455 1.2950713)",,,,,,,,
976478176,11252772227,0,646401214,,service,parking_aisle,False,True,1.556,"LINESTRING (103.7756428 1.2950484, 103.7756304 1.2950419)",,,,,,,,
976478182,2491214884,0,1150608636,,footway,,False,False,4.946,"LINESTRING (103.7804677 1.2907531, 103.7804937 1.2907892)",,,,,,,,
976478182,10742590068,0,83890924,,footway,,False,False,79.515,"LINESTRING (103.7804677 1.2907531, 103.7803243 1.2908474, 103.7801772 1.2910463, 103.780045 1.2913113)",,,,,,,,
976478182,5243866776,0,83890924,,footway,,False,True,56.242,"LINESTRING (103.7804677 1.2907531, 103.7807331 1.2906143, 103.7809196 1.2905259)",,,,,,,,
976478182,10703313307,0,1150608636,,footway,,False,True,10.914,"LINESTRING (103.7804677 1.2907531, 103.7804279 1.2906979, 103.7804053 1.2907178)",,,,,,,,
976478207,976478163,0,83890933,,service,driveway,False,False,30.492,"LINESTRING (103.7758199 1.2937326, 103.7758279 1.2940067)",,,,,,,,
976478207,1345143402,0,640177086,2,residential,,False,True,29.84,"LINESTRING (103.7758199 1.2937326, 103.7755519 1.2937175)",Research Link,40,,,,,,
976478207,496810111,0,640177087,2,residential,,False,False,22.705000000000002,"LINESTRING (103.7758199 1.2937326, 103.7759733 1.2937443, 103.776023 1.293736)",Research Link,40,,,,,,
976478710,5243866776,0,83890924,,footway,,False,False,10.789,"LINESTRING (103.7809546 1.2906164, 103.7809196 1.2905259)",,,,,,,,
976478710,2491214886,0,241504231,,footway,,False,True,16.974,"LINESTRING (103.7809546 1.2906164, 103.7808052 1.2906479)",,,,,,,,
976478710,5243866780,0,83890924,,footway,,False,True,19.899,"LINESTRING (103.7809546 1.2906164, 103.7810608 1.2906024, 103.7811326 1.2906058)",,,,,,,,
976478710,5150487742,0,241504231,,footway,,False,False,33.821,"LINESTRING (103.7809546 1.2906164, 103.7809607 1.2906611, 103.7810116 1.2906601, 103.7810471 1.2906936, 103.7810553 1.2907332, 103.7811742 1.2907361)",,,,,,,,
976480212,1601399477,0,644246501,2,service,,False,False,3.414,"LINESTRING (103.7735804 1.2966329, 103.7736096 1.2966234)",Research Link,,,,,,,
977370338,1748955717,0,635371845,1,residential,,True,False,33.799,"LINESTRING (103.7737574 1.2924045, 103.7740419 1.2922973)",Kent Ridge Drive,40,,,,,,
977370338,496810106,0,83999092,2,residential,,False,True,47.664,"LINESTRING (103.7737574 1.2924045, 103.773808 1.2922947, 103.7738621 1.2921472, 103.7739086 1.2920039)",Heng Mui Keng Terrace,40,,,,,,
977370338,10598564872,0,634148645,2,residential,,False,True,32.211,"LINESTRING (103.7737574 1.2924045, 103.7735885 1.2925582, 103.7735468 1.2926032)",Kent Ridge Drive,40,,,,,,
977370345,1746994015,0,161886031,2,residential,,False,False,49.79,"LINESTRING (103.7744422 1.2921482, 103.7748667 1.2920054)",Heng Mui Keng Terrace,40,,,,,,
977370345,7936899673,0,161886032,2,residential,,False,True,4.307,"LINESTRING (103.7744422 1.2921482, 103.7744055 1.2921606)",Heng Mui Keng Terrace,40,,,,,,
977370345,5136287745,0,"[670138712, 40840635]",2,residential,,False,False,44.622,"LINESTRING (103.7744422 1.2921482, 103.7745635 1.2923155, 103.7746731 1.2924764)",Business Link,40,,,,,,
977370355,7413655230,0,676745541,2,residential,,False,False,10.918,"LINESTRING (103.7768039 1.2917293, 103.7768995 1.2917518)",Heng Mui Keng Terrace,40,,,,,,
977370355,10719085853,0,"[1258459330, 676745540]",2,service,,True,False,27.607,"LINESTRING (103.7768039 1.2917293, 103.7767895 1.2917812, 103.7767804 1.291798, 103.7767617 1.2918, 103.7766816 1.2917766, 103.7766088 1.29177)",,,,,,,,
