osmid,y,x,street_count,highway,ref,geometry
7164297321,1.2978366,103.7706382,1,,,POINT (103.7706382 1.2978366)
7164297322,1.2977694,103.7708354,4,,,POINT (103.7708354 1.2977694)
7164297325,1.2978597,103.7708656,3,,,POINT (103.7708656 1.2978597)
7266702422,1.2992014,103.7752402,3,,,POINT (103.7752402 1.2992014)
7266702425,1.2991434,103.7757115,1,,,POINT (103.7757115 1.2991434)
7266702426,1.2986765,103.7755836,1,,,POINT (103.7755836 1.2986765)
7413655228,1.2909944,103.7774905,3,,,POINT (103.7774905 1.2909944)
7413655230,1.2917518,103.7768995,3,,,POINT (103.7768995 1.2917518)
7413930522,1.2908317,103.7777404,3,,,POINT (103.7777404 1.2908317)
7712500305,1.2947534,103.782254,1,,,POINT (103.782254 1.2947534)
7886411124,1.2991375,103.7760331,3,,,POINT (103.7760331 1.2991375)
7904099438,1.2957117,103.7840492,3,,,POINT (103.7840492 1.2957117)
7904159445,1.296074,103.7836522,4,crossing,,POINT (103.7836522 1.296074)
7904269020,1.2952476,103.7836561,3,,,POINT (103.7836561 1.2952476)
7904269021,1.2952485,103.7837318,4,crossing,,POINT (103.7837318 1.2952485)
7904552748,1.2964826,103.7832738,4,crossing,,POINT (103.7832738 1.2964826)
7907519689,1.2942601,103.7848201,4,crossing,,POINT (103.7848201 1.2942601)
7907519690,1.2942187,103.7848399,4,crossing,,POINT (103.7848399 1.2942187)
7907586664,1.2919726,103.7832122,3,,,POINT (103.7832122 1.2919726)
7907597109,1.2919403,103.7831459,4,,,POINT (103.7831459 1.2919403)
7907622867,1.2932742,103.7850555,4,crossing,,POINT (103.7850555 1.2932742)
7907622868,1.2932778,103.7850128,3,,,POINT (103.7850128 1.2932778)
7907911437,1.2952486,103.7837642,3,,,POINT (103.7837642 1.2952486)
7907911441,1.2949275,103.7839737,4,crossing,,POINT (103.7839737 1.2949275)
7907911444,1.2944868,103.7842098,3,,,POINT (103.7842098 1.2944868)
7911484975,1.2967232,103.7828872,4,crossing,,POINT (103.7828872 1.2967232)
7911485200,1.2958335,103.7804167,3,,,POINT (103.7804167 1.2958335)
7911521034,1.2940588,103.7845085,4,,,POINT (103.7845085 1.2940588)
7911521035,1.2938945,103.7842018,3,,,POINT (103.7842018 1.2938945)
7911521042,1.2941122,103.784874,3,,,POINT (103.784874 1.2941122)
7911557514,1.2942753,103.7848099,3,,,POINT (103.7848099 1.2942753)
7911557520,1.2940451,103.7841222,3,,,POINT (103.7841222 1.2940451)
7912126535,1.2973837,103.7815085,3,,,POINT (103.7815085 1.2973837)
7912157938,1.297052,103.7822351,3,,,POINT (103.7822351 1.297052)
7912157942,1.2974565,103.7815558,4,crossing,,POINT (103.7815558 1.2974565)
7912201020,1.2968109,103.7800223,3,,,POINT (103.7800223 1.2968109)
7912201021,1.2964989,103.7801934,3,,,POINT (103.7801934 1.2964989)
7912520469,1.2973891,103.7807855,3,,,POINT (103.7807855 1.2973891)
7915620877,1.2974408,103.781208,3,,,POINT (103.781208 1.2974408)
7915620878,1.2974973,103.7812075,4,crossing,,POINT (103.7812075 1.2974973)
7915620879,1.2975239,103.7812106,3,,,POINT (103.7812106 1.2975239)
7915692065,1.2950109,103.782142,3,,,POINT (103.782142 1.2950109)
7915828265,1.2968967,103.7825207,3,,,POINT (103.7825207 1.2968967)
7919206478,1.3016864,103.770386,4,crossing,,POINT (103.770386 1.3016864)
7919206479,1.3015875,103.7703335,4,crossing,,POINT (103.7703335 1.3015875)
7919235585,1.3016418,103.7706374,3,,,POINT (103.7706374 1.3016418)
7919235586,1.3014454,103.7705422,3,,,POINT (103.7705422 1.3014454)
7919235587,1.3015326,103.7703156,3,,,POINT (103.7703156 1.3015326)
7919407023,1.3011652,103.7734303,3,,,POINT (103.7734303 1.3011652)
7919407028,1.3019042,103.7733682,3,,,POINT (103.7733682 1.3019042)
7919441365,1.3013439,103.7706167,3,,,POINT (103.7706167 1.3013439)
7919441366,1.301379,103.7705918,4,crossing,,POINT (103.7705918 1.301379)
7919441370,1.3009802,103.7719338,4,crossing,,POINT (103.7719338 1.3009802)
7919441379,1.3010083,103.7731339,4,,,POINT (103.7731339 1.3010083)
7919548637,1.3014642,103.7704839,4,crossing,,POINT (103.7704839 1.3014642)
7919548638,1.3015118,103.7703598,4,crossing,,POINT (103.7703598 1.3015118)
7919548640,1.3016613,103.7705885,4,crossing,,POINT (103.7705885 1.3016613)
7919548641,1.3015936,103.7706146,4,crossing,,POINT (103.7706146 1.3015936)
7919548642,1.301481,103.770565,4,crossing,,POINT (103.770565 1.301481)
7919717642,1.2963965,103.771011,4,crossing,,POINT (103.771011 1.2963965)
7919717643,1.296268,103.7710066,4,crossing,,POINT (103.7710066 1.296268)
7919717644,1.2961997,103.7710042,3,,,POINT (103.7710042 1.2961997)
7919717645,1.2962018,103.7709048,4,crossing,,POINT (103.7709048 1.2962018)
7926747717,1.2969838,103.7723921,4,crossing,,POINT (103.7723921 1.2969838)
