element_type,osmid,nodes,building,geometry,name,building:levels,amenity,healthcare,leisure,sport,building:use
way,863132758,"[8040763356, 8040763355, 8040763350, 8040763349, 8040763354, 8040763353, 8040763351, 8040763352, 8040763356]",yes,"POLYGON ((121.4103171 31.1627158, 121.4105463 31.1627528, 121.4105569 31.1627046, 121.4105361 31.1627012, 121.4105565 31.1626091, 121.4103647 31.1625781, 121.4103575 31.1626105, 121.410341 31.1626078, 121.4103171 31.1627158))",,,,,,,
way,863132759,"[8040763360, 8040763359, 8040763358, 8040763357, 8040763360]",yes,"POLYGON ((121.4105424 31.1628787, 121.4106947 31.1629034, 121.4107382 31.1627066, 121.4105859 31.1626819, 121.4105424 31.1628787))",,,,,,,
way,863132760,"[8040763364, 8040763363, 8040763362, 8040763361, 8040763364]",yes,"POLYGON ((121.4102849 31.1629476, 121.4106678 31.1630096, 121.4106846 31.1629338, 121.4103017 31.1628718, 121.4102849 31.1629476))",,,,,,,
way,863132761,"[8040763368, 8040763367, 8040763366, 8040763365, 8040763368]",yes,"POLYGON ((121.4105612 31.1632918, 121.4110574 31.1633722, 121.4110955 31.1631997, 121.4105993 31.1631194, 121.4105612 31.1632918))",,,,,,,
way,863132762,"[8040763376, 8040763372, 8040763371, 8040763370, 8040763369, 8040763373, 8040763374, 8040763375, 8040763376]",yes,"POLYGON ((121.4100167 31.1632551, 121.4099953 31.1633771, 121.4100672 31.1633863, 121.4100583 31.1634373, 121.4101702 31.1634517, 121.4101343 31.163656, 121.4102474 31.1636705, 121.4103136 31.1632933, 121.4100167 31.1632551))",,,,,,,
way,863132763,"[8040763384, 8040763381, 8040763380, 8040763379, 8040763378, 8040763377, 8040763382, 8040763383, 8040763384]",yes,"POLYGON ((121.4098008 31.1628558, 121.4097713 31.1630153, 121.4098565 31.1630268, 121.409859 31.1630129, 121.4100327 31.1630364, 121.4100433 31.1629793, 121.4101827 31.1629982, 121.4101991 31.1629097, 121.4098008 31.1628558))",,,,,,,
way,863132764,"[8040763396, 8040763395, 8040763391, 8040763392, 8040763394, 8040763388, 8040763387, 8040763389, 8040763390, 8040763386, 8040763385, 8040763393, 8040763396]",yes,"POLYGON ((121.4103171 31.1624897, 121.4100046 31.1624474, 121.4099883 31.1625359, 121.4099547 31.1625314, 121.4099403 31.1626094, 121.4100809 31.1626284, 121.4100905 31.1625763, 121.4101586 31.1625855, 121.4101462 31.1626522, 121.4102458 31.1626657, 121.4102509 31.1626376, 121.4102888 31.1626428, 121.4103171 31.1624897))",,,,,,,
way,863132765,"[8040763400, 8040763399, 8040763398, 8040763397, 8040763400]",yes,"POLYGON ((121.4087829 31.1630026, 121.4096142 31.1631152, 121.4096627 31.1628535, 121.4088313 31.1627409, 121.4087829 31.1630026))",,,,,sports_centre,badminton,
way,863132766,"[8040763404, 8040763403, 8040763402, 8040763401, 8040763404]",yes,"POLYGON ((121.4085013 31.1629774, 121.4087157 31.1630064, 121.4087695 31.1627158, 121.408555 31.1626867, 121.4085013 31.1629774))",,,,,,,
way,863132767,"[8040763416, 8040763412, 8040763410, 8040763408, 8040763406, 8040763405, 8040763407, 8040763409, 8040763411, 8040763415, 8040763414, 8040763413, 8040763416]",yes,"POLYGON ((121.4092469 31.16264, 121.4093381 31.1626524, 121.4093504 31.1625859, 121.4094921 31.1626051, 121.4094856 31.1626402, 121.4095646 31.1626509, 121.4095711 31.1626158, 121.4096532 31.1626269, 121.4096409 31.1626934, 121.4097317 31.1627057, 121.4097565 31.1625712, 121.4092718 31.1625055, 121.4092469 31.16264))",,,,,,,
way,863132768,"[8040763422, 8040763418, 8040763417, 8040763421, 8040763420, 8040763419, 8040763422]",yes,"POLYGON ((121.4086756 31.1625321, 121.4089727 31.1625724, 121.408977 31.1625489, 121.4092126 31.1625808, 121.4092335 31.1624679, 121.4087008 31.1623957, 121.4086756 31.1625321))",,,,,,,
way,863132771,"[8040763440, 8040763437, 8040763438, 8040763436, 8040763435, 8040763439, 8040763440]",yes,"POLYGON ((121.4104083 31.1620731, 121.4103371 31.162465, 121.4108589 31.1625344, 121.4108955 31.1623334, 121.4110883 31.1623591, 121.411123 31.1621682, 121.4104083 31.1620731))",香樟苑食堂,4,,,,,
way,863132772,"[8040763444, 8040763441, 8040763442, 8040763443, 8040763444]",yes,"POLYGON ((121.4099094 31.162057, 121.4098547 31.162358, 121.4101455 31.1623967, 121.4102002 31.1620957, 121.4099094 31.162057))",桃李居食堂,2,,,,,
way,863132776,"[8040763462, 8040763461, 8040763460, 8040763457, 8040763458, 8040763459, 8040763462]",yes,"POLYGON ((121.4095098 31.1617954, 121.4103153 31.1619026, 121.4103567 31.1616748, 121.4098779 31.161611, 121.4099215 31.1613713, 121.4095948 31.1613278, 121.4095098 31.1617954))",丹桂苑食堂,1,,,,,
way,863132779,"[8040763477, 8040763484, 8040763483, 8040763474, 8040763472, 8040763480, 8040763479, 8040763476, 8040763475, 8040763482, 8040763481, 8040763471, 8040763473, 8040763486, 8040763485, 8040763478, 8040763477]",yes,"POLYGON ((121.4113142 31.1618411, 121.4115102 31.161871, 121.4115335 31.1617594, 121.4113374 31.1617296, 121.4113693 31.1615764, 121.4115635 31.161606, 121.4115864 31.1614965, 121.4113921 31.1614669, 121.4112682 31.161448, 121.4110768 31.1614188, 121.411054 31.1615284, 121.4112454 31.1615576, 121.4112135 31.1617107, 121.4110239 31.1616818, 121.4110007 31.1617933, 121.4111903 31.1618222, 121.4113142 31.1618411))",,,,,,,
way,863132780,"[8040763490, 8040763489, 8040763488, 8040763487, 8040763490]",yes,"POLYGON ((121.4126265 31.1612916, 121.4126035 31.1614022, 121.4132032 31.1614936, 121.4132262 31.161383, 121.4126265 31.1612916))",,,,,,,
way,863132788,"[8040763522, 8040763519, 8040763520, 8040763521, 8040763522]",dormitory,"POLYGON ((121.4108133 31.160813, 121.4107594 31.1610719, 121.411154 31.1611321, 121.4112079 31.1608732, 121.4108133 31.160813))",西部第一学生宿舍,,,,,,
way,863132789,"[8040763526, 8040763525, 8040763524, 8040763523, 8040763526]",yes,"POLYGON ((121.4090492 31.1609437, 121.4090208 31.1610588, 121.4095036 31.161146, 121.409532 31.1610309, 121.4090492 31.1609437))",西十一宿舍楼,6,,,,,
way,863132790,"[8040763530, 8040763529, 8040763528, 8040763527, 8040763530]",yes,"POLYGON ((121.4090975 31.160643, 121.4090691 31.1607581, 121.4095519 31.1608453, 121.4095803 31.1607302, 121.4090975 31.160643))",西十二宿舍楼,6,,,,,
way,863132791,"[8040763534, 8040763531, 8040763532, 8040763533, 8040763534]",yes,"POLYGON ((121.4091691 31.1603448, 121.4091407 31.1604599, 121.4096235 31.1605471, 121.4096519 31.160432, 121.4091691 31.1603448))",西十三宿舍楼,6,,,,,
way,863132792,"[8040763538, 8040763535, 8040763536, 8040763537, 8040763538]",yes,"POLYGON ((121.4097512 31.1604481, 121.4097221 31.1605785, 121.4100735 31.1606358, 121.4101025 31.1605055, 121.4097512 31.1604481))",西十四宿舍楼,6,,,,,
way,863132793,"[8040763542, 8040763541, 8040763540, 8040763539, 8040763542]",apartments,"POLYGON ((121.4102573 31.1605376, 121.4102259 31.1607107, 121.4106447 31.1607665, 121.4106762 31.1605934, 121.4102573 31.1605376))",西部第六学生宿舍,,,,,,
way,863132794,"[8040763546, 8040763545, 8040763544, 8040763543, 8040763546]",yes,"POLYGON ((121.410019 31.1613669, 121.4099876 31.16154, 121.4104704 31.1616042, 121.4105018 31.1614311, 121.410019 31.1613669))",西部第四学生宿舍,,,,,,dormitory
way,863132795,"[8040763550, 8040763547, 8040763548, 8040763549, 8040763550]",apartments,"POLYGON ((121.4101052 31.1609117, 121.4100738 31.1610848, 121.4105566 31.1611491, 121.410588 31.160976, 121.4101052 31.1609117))",西部第五学生宿舍,,,,,,
way,929693665,"[8621706558, 8621706559, 8621706560, 8621706561, 8621706562, 8621706563, 8621706558]",yes,"POLYGON ((121.4185997 31.1628202, 121.4190114 31.1628242, 121.4190012 31.163592, 121.4187064 31.1635892, 121.418708 31.1634655, 121.418591 31.1634643, 121.4185997 31.1628202))",紫薇苑食堂,2,,,,,
