u,v,key,osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref,service,tunnel,access
360371019,10960133624,0,32110415,,footway,False,False,17.43,,,"LINESTRING (-75.1987321 39.9490128, -75.1987063 39.9491683)",,,,,
360371023,10960133624,0,32110415,,footway,False,True,7.633,,,"LINESTRING (-75.198695 39.9492364, -75.1987063 39.9491683)",,,,,
360371023,360371032,0,32110415,,footway,False,False,15.933,,,"LINESTRING (-75.198695 39.9492364, -75.1986634 39.9493221, -75.1986806 39.9493747)",,,,,
360371023,360494781,0,32120719,,footway,False,True,54.535000000000004,,,"LINESTRING (-75.198695 39.9492364, -75.1984943 39.9494105, -75.1984302 39.9494281, -75.1983287 39.9493944, -75.1983355 39.9494622, -75.1983269 39.9495149)",,,,,
360371032,10960092216,0,32110429,,footway,False,True,14.64,,,"LINESTRING (-75.1986806 39.9493747, -75.1986526 39.9495046)",,,,,
360371032,360371042,0,32110415,,footway,False,False,28.628999999999998,,,"LINESTRING (-75.1986806 39.9493747, -75.1987407 39.9494273, -75.1989136 39.9494448, -75.1989798 39.9494268)",,,,,
360371032,360371023,0,32110415,,footway,False,True,15.933,,,"LINESTRING (-75.1986806 39.9493747, -75.1986634 39.9493221, -75.198695 39.9492364)",,,,,
360371042,8185907033,0,32110415,,footway,False,False,24.785,,,"LINESTRING (-75.1989798 39.9494268, -75.1992665 39.9494639)",,,,,
360371042,8185907039,0,880018068,,footway,False,False,26.911,,,"LINESTRING (-75.1989798 39.9494268, -75.1990295 39.9491878)",,,,,
360371042,360371032,0,32110415,,footway,False,True,28.628999999999998,,,"LINESTRING (-75.1989798 39.9494268, -75.1989136 39.9494448, -75.1987407 39.9494273, -75.1986806 39.9493747)",,,,,
360371415,10960133635,0,1180055703,,footway,False,False,34.326,,,"LINESTRING (-75.1980454 39.9491773, -75.1979513 39.9490784, -75.1980154 39.9490002, -75.1981329 39.9489736)",,,,,
360371447,10960133621,0,32120720,,footway,False,True,44.908,,,"LINESTRING (-75.1981741 39.949197, -75.1982668 39.9491135, -75.1984213 39.9491267, -75.1985379 39.9491388, -75.1986378 39.9491023)",,,,,
360473658,1612652984,0,"[156109652, 1056113557]",Paley Bridge,footway,False,False,80.681,,,"LINESTRING (-75.1880225 39.9501386, -75.1879476 39.9501342, -75.1878503 39.9501195, -75.1877728 39.9500872, -75.1873969 39.9498679, -75.1872236 39.9497748)",yes,,,,
360473658,3355718442,0,"[156109652, 148165327]",Paley Bridge,footway,False,True,43.223,,,"LINESTRING (-75.1880225 39.9501386, -75.1884831 39.9501473, -75.1885294 39.9501483)",yes,,,,
360473658,3355024558,0,"[328677266, 328677267]",,"['steps', 'footway']",False,True,41.714,,,"LINESTRING (-75.1880225 39.9501386, -75.1880289 39.9500715, -75.188015 39.9500609, -75.1879989 39.9500609, -75.187985 39.9500681, -75.1879295 39.9501601, -75.1878911 39.9502017, -75.1877409 39.9502079)",,,,,
360477055,10784054510,0,32118924,,service,False,False,41.401,,,"LINESTRING (-75.2017295 39.9536581, -75.2016992 39.9532865)",,,driveway,,
360477055,7874128487,0,32118924,,service,False,True,29.034,,,"LINESTRING (-75.2017295 39.9536581, -75.2017477 39.9539027, -75.2017472 39.9539188)",,,driveway,,
360477055,1658147652,0,99955547,,footway,False,True,64.648,,,"LINESTRING (-75.2017295 39.9536581, -75.2011531 39.9535839, -75.2009812 39.9535634)",,,,,
360477465,360477527,0,12155139,Locust Walk,pedestrian,False,False,53.036,,,"LINESTRING (-75.2012023 39.9527731, -75.2005878 39.9526983)",,,,,
