u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,width,access,tunnel,bridge,maxspeed,service
2317864089,3030351256,0,222840604,residential,False,False,58.821,"LINESTRING (120.1726089 35.9386575, 120.1731246 35.9389823)",黄海路,2,,,,,,
2317864089,2317864108,0,222840604,residential,False,True,144.609,"LINESTRING (120.1726089 35.9386575, 120.1728342 35.9383882, 120.1717801 35.9379163)",黄海路,2,,,,,,
2317864089,8579025643,0,299949191,unclassified,False,False,120.787,"LINESTRING (120.1726089 35.9386575, 120.1721926 35.9391109, 120.1726972 35.9394347)",,,,,,,,
2317864089,2317864095,0,299949191,unclassified,False,True,109.265,"LINESTRING (120.1726089 35.9386575, 120.1723427 35.9384946, 120.1716378 35.9380681)",,,,,,,,
2317864094,8661053568,0,222840601,unclassified,False,False,20.11,"LINESTRING (120.1708835 35.937514, 120.1707539 35.9376613)",,,,,,,,
2317864094,2317864108,0,222840604,residential,False,False,92.287,"LINESTRING (120.1708835 35.937514, 120.1717801 35.9379163)",黄海路,2,,,,,,
2317864094,2317864101,0,222840604,residential,False,True,88.483,"LINESTRING (120.1708835 35.937514, 120.1700311 35.9371179)",黄海路,2,,,,,,
2317864095,2317864108,0,222840598,unclassified,False,True,21.191,"LINESTRING (120.1716378 35.9380681, 120.1717801 35.9379163)",,,,,,,,
2317864095,2317864102,0,222840600,unclassified,False,False,10.158,"LINESTRING (120.1716378 35.9380681, 120.1715725 35.9381426)",,,,,,,,
2317864095,2317864089,0,299949191,unclassified,False,False,109.265,"LINESTRING (120.1716378 35.9380681, 120.1723427 35.9384946, 120.1726089 35.9386575)",,,,,,,,
2317864096,2317863629,0,222840504,residential,False,False,80.75,"LINESTRING (120.1685154 35.9373932, 120.1677909 35.9369651)",致远路,2,,,,,,
2317864096,2317863655,0,222840504,residential,False,True,87.409,"LINESTRING (120.1685154 35.9373932, 120.1692786 35.9378791)",致远路,2,,,,,,
2317864096,9083456311,0,982163074,footway,False,True,99.458,"LINESTRING (120.1685154 35.9373932, 120.1678571 35.9381115)",,,2,,,,,
2317864096,2317864104,0,222840599,unclassified,False,True,94.577,"LINESTRING (120.1685154 35.9373932, 120.1688771 35.9370299, 120.1691385 35.9367096)",,,,,,,,
2317864097,9122015323,0,222840504,residential,False,False,8.638,"LINESTRING (120.1700699 35.9383659, 120.1699935 35.9383189)",致远路,2,,,,,,
2317864097,9122015325,0,222840504,residential,False,True,33.733,"LINESTRING (120.1700699 35.9383659, 120.1703678 35.9385499)",致远路,2,,,,,,
2317864097,8661053568,0,222840601,unclassified,False,True,99.65199999999999,"LINESTRING (120.1700699 35.9383659, 120.1705322 35.937891, 120.1707539 35.9376613)",,,,,,,,
2317864100,8668650586,0,222840603,service,False,False,41.326,"LINESTRING (120.1729438 35.9457501, 120.1725729 35.9455311)",,,,,,,,
2317864100,8579026037,0,930702760,residential,False,False,28.784,"LINESTRING (120.1729438 35.9457501, 120.1727548 35.9459589)",博翠东路,2,,,,,,
2317864100,8579026041,0,930702760,residential,False,True,27.176,"LINESTRING (120.1729438 35.9457501, 120.1731223 35.945553)",博翠东路,2,,,,,,
2317864101,2317864109,0,222840602,residential,False,False,8.416,"LINESTRING (120.1700311 35.9371179, 120.1699814 35.937182)",芳华路,2,,,,,,
2317864101,2317864094,0,222840604,residential,False,False,88.483,"LINESTRING (120.1700311 35.9371179, 120.1708835 35.937514)",黄海路,2,,,,,,
2317864101,2317864104,0,222840604,residential,False,True,92.299,"LINESTRING (120.1700311 35.9371179, 120.1691385 35.9367096)",黄海路,2,,,,,,
2317864102,8661053568,0,222840597,unclassified,False,False,91.08,"LINESTRING (120.1715725 35.9381426, 120.1707539 35.9376613)",,,,,,,,
2317864102,2317864095,0,222840600,unclassified,False,True,10.158,"LINESTRING (120.1715725 35.9381426, 120.1716378 35.9380681)",,,,,,,,
2317864102,2317864107,0,"[222840600, 222840606]",unclassified,False,False,101.791,"LINESTRING (120.1715725 35.9381426, 120.1713188 35.9384142, 120.1708794 35.9388658)",,,,,,,,
2317864104,2317864101,0,222840604,residential,False,False,92.299,"LINESTRING (120.1691385 35.9367096, 120.1700311 35.9371179)",黄海路,2,,,,,,
2317864104,2317864096,0,222840599,unclassified,False,False,94.577,"LINESTRING (120.1691385 35.9367096, 120.1688771 35.9370299, 120.1685154 35.9373932)",,,,,,,,
2317864104,2317863629,0,"[222840512, 222840604]",residential,False,"[False, True]",171.103,"LINESTRING (120.1691385 35.9367096, 120.1689504 35.9366248, 120.1686384 35.936478, 120.1682533 35.9363379, 120.1677909 35.9369651)","['黄河路', '黄海路']",2,,,,,,
2317864107,9084229158,0,222840504,residential,False,False,25.851,"LINESTRING (120.1708794 35.9388658, 120.1706511 35.9387248)",致远路,2,,,,,,
2317864107,9122015327,0,222840504,residential,False,True,11.945,"LINESTRING (120.1708794 35.9388658, 120.1709815 35.9389344)",致远路,2,,,,,,
2317864107,2317864102,0,"[222840600, 222840606]",unclassified,False,True,101.791,"LINESTRING (120.1708794 35.9388658, 120.1713188 35.9384142, 120.1715725 35.9381426)",,,,,,,,
2317864108,2317864095,0,222840598,unclassified,False,False,21.191,"LINESTRING (120.1717801 35.9379163, 120.1716378 35.9380681)",,,,,,,,
2317864108,2317864094,0,222840604,residential,False,True,92.287,"LINESTRING (120.1717801 35.9379163, 120.1708835 35.937514)",黄海路,2,,,,,,
2317864108,2317864089,0,222840604,residential,False,False,144.609,"LINESTRING (120.1717801 35.9379163, 120.1728342 35.9383882, 120.1726089 35.9386575)",黄海路,2,,,,,,
2317864109,2317864101,0,222840602,residential,False,True,8.416,"LINESTRING (120.1699814 35.937182, 120.1700311 35.9371179)",芳华路,2,,,,,,
2317864109,8661053568,0,222840597,unclassified,False,True,87.679,"LINESTRING (120.1699814 35.937182, 120.1702593 35.9373719, 120.1707539 35.9376613)",,,,,,,,
2317864109,2317863655,0,222840602,residential,False,False,100.09700000000001,"LINESTRING (120.1699814 35.937182, 120.16968 35.9375001, 120.1692786 35.9378791)",芳华路,2,,,,,,
3030351256,2317863631,0,222840604,residential,False,False,27.751,"LINESTRING (120.1731246 35.9389823, 120.1733551 35.939148)",黄海路,2,,,,,,
3030351256,2317864089,0,222840604,residential,False,True,58.821,"LINESTRING (120.1731246 35.9389823, 120.1726089 35.9386575)",黄海路,2,,,,,,
3030351256,9111128096,0,985531324,tertiary,False,False,20.556,"LINESTRING (120.1731246 35.9389823, 120.1732705 35.9388401)",,,,,,,,
3030351257,7984106856,0,222840504,residential,False,False,40.69,"LINESTRING (120.1721714 35.9399928, 120.1718093 35.9397738)",致远路,2,,,,,,
3030351257,2317863602,0,222840504,residential,False,True,31.227,"LINESTRING (120.1721714 35.9399928, 120.1724453 35.9401651)",致远路,2,,,,,,
3030351257,8579025643,0,299086415,tertiary,True,False,78.051,"LINESTRING (120.1721714 35.9399928, 120.1726972 35.9394347)",光华大道,,,,,,,
3030351258,8579025593,0,222840503,residential,False,False,9.397,"LINESTRING (120.1710424 35.9412763, 120.171126 35.9413269)",华东路,2,,,,,,
3030351258,2317863628,0,222840503,residential,False,True,69.709,"LINESTRING (120.1710424 35.9412763, 120.170399 35.9409275)",华东路,2,,,,,,
3030351258,7984106877,0,299086415,tertiary,True,False,10.264,"LINESTRING (120.1710424 35.9412763, 120.1711112 35.9412027)",光华大道,,,,,,,
5563254324,7984070266,0,222840502,residential,False,True,34.91,"LINESTRING (120.1741709 35.9406904, 120.1744327 35.9404588)",,,,,,,,
5563254324,7984106848,0,856272978,service,False,True,140.099,"LINESTRING (120.1741709 35.9406904, 120.1729449 35.9399144)",,,,,,,,
5563254324,7984106846,0,"[222840506, 222840502]",residential,False,False,47.416,"LINESTRING (120.1741709 35.9406904, 120.1740513 35.9408223, 120.1738684 35.9410394)",,,,,,,,
7983909288,8579025926,0,856247225,residential,False,False,61.196,"LINESTRING (120.1710318 35.9400636, 120.1704809 35.9397412)",,2,,,,,,
7983909288,7984106865,0,856272984,footway,False,False,12.053,"LINESTRING (120.1710318 35.9400636, 120.1711423 35.9401248)",,,,,,,,
7983909288,7984106866,0,930702759,residential,False,False,87.199,"LINESTRING (120.1710318 35.9400636, 120.1704476 35.9406891)",凤华路,,,,,,,
7983909288,2317863657,0,930702759,residential,False,True,66.839,"LINESTRING (120.1710318 35.9400636, 120.17148 35.9395844)",凤华路,,,,,,,
7983909289,8579026000,0,222840512,residential,False,False,50.735,"LINESTRING (120.1673079 35.937777, 120.167108 35.9382036)",黄河路,2,,,,,,
7983909289,2317863629,0,222840512,residential,False,True,100.206,"LINESTRING (120.1673079 35.937777, 120.1677909 35.9369651)",黄河路,2,,,,,,
7983909289,8579025998,0,856247225,residential,False,True,25.072,"LINESTRING (120.1673079 35.937777, 120.1675304 35.9379126)",,2,,,,,,
